"asc_bike","asc_car_base","asc_car_toll","b_tc","b_tt_car","b_tt_bike","b_tt_pt","b_medium","b_high","logLike"
0,0,0,0,0,0,0,0,0,-527.333898560692
-0.00547458833196918,-0.0246297769640336,-0.093040897525522,-0.00430729367024758,-0.00074357782531775,-0.000782121625241439,0.00290622959891492,0.0091274067694274,0.0111519634572548,-524.792400249775
0.000464401945020187,0.0184487266299943,-0.188640107559978,-0.0171344930497059,0.00339806505018052,-0.00421386307561497,0.009144736592458,0.0110337478311514,0.0341884311616683,-523.361388422949
0.49864771635597,0.188253924849989,0.107104231145612,-0.0630025250160345,0.0272716457208306,-0.0271298581036227,0.0422237448823232,0.0431425003474366,0.21750087339038,-521.503141221331
0.943379008491268,0.303986155561076,0.155412149353663,-0.07002287626266,0.0342559553742379,-0.0493674853697615,0.0566092055461212,0.0354616204406231,0.285207928672965,-521.292012071203
0.947961030317175,0.312196738898246,0.152450016079443,-0.0697137075638351,0.0339150838651009,-0.0493645671899352,0.0568174755359921,0.0339919843986638,0.28210777729706,-521.291887566175
0.948385667153826,0.312542339690476,0.152118832230011,-0.0696779491827399,0.033891991302656,-0.0493872535965534,0.0568125043576259,0.0339745264723032,0.282119362841337,-521.291887256506
0.948388655592105,0.312551627647706,0.152111914901389,-0.0696773490118958,0.0338914303340709,-0.0493871522812752,0.0568125230536252,0.0339728037693393,0.282119379629152,-521.291887256196
0.948388655592105,0.312551627647706,0.152111914901389,-0.0696773490118958,0.0338914303340709,-0.0493871522812752,0.0568125230536252,0.0339728037693393,0.282119379629152,-521.291887256196
0.948388576481175,0.312551948532171,0.152112006649926,-0.0696773725059026,0.0338914114005108,-0.0493871542674636,0.056812519070529,0.0339729362300979,0.282119492695247,-521.291887256194
